KEGG_name,KEGG_classification,gene_name,count
hsa03440_Homologous_recombination,Replication and repair,ATM/BARD1/BLM/BRCA1/BRCA2/BRCC3/BRIP1/MUS81/NBN/PALB2/POLD1/POLD2/POLD3/POLD4/RAD50/RAD51/RAD51C/RAD52/RAD54L/RPA1/RPA2/RPA3/RPA4/SSBP1/TOP3A/TOPBP1/UIMC1/XRCC2/XRCC3,29
hsa03450_Non-homologous_end-joining,Replication and repair,DCLRE1C/FEN1/LIG4/POLL/PRKDC/RAD50/XRCC4/XRCC5,8
hsa03460_Fanconi_anemia_pathway,Replication and repair,ATR/BLM/BRCA1/BRCA2/BRIP1/ERCC1/ERCC4/FANCA/FANCC/FANCE/FANCF/FANCG/FANCI/FANCL/HES1/MLH1/MUS81/PALB2/POLH/POLI/RAD51/RAD51C/REV1/REV3L/RMI1/RPA1/RPA2/RPA3/RPA4/TELO2/TOP3A/USP1/WDR48,33
hsa04010_MAPK_signaling_pathway,Signal transduction,AKT1/AKT2/AKT3/ANGPT1/ANGPT2/ANGPT4/ARAF/ARRB1/ARRB2/ATF2/BDNF/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1G/CACNA1H/CACNA1I/CACNA1S/CACNA2D1/CACNA2D2/CACNA2D3/CACNB1/CACNB2/CACNB3/CACNB4/CACNG2/CACNG4/CASP3/CD14/CDC25B/CDC42/CHUK/CRK/CRKL/CSF1/CSF1R/DAXX/DDIT3/DUSP1/DUSP10/DUSP2/DUSP3/DUSP4/DUSP5/DUSP6/DUSP7/DUSP9/EFNA1/EFNA2/EFNA3/EFNA4/EFNA5/EGF/EGFR/ELK1/ELK4/EPHA2/ERBB2/ERBB3/ERBB4/EREG/FAS/FASLG/FGF17/FGF18/FGF2/FGF20/FGF22/FGF5/FGF8/FGF9/FGFR1/FGFR2/FGFR3/FGFR4/FLNA/FLNB/FLNC/FLT1/FLT3/FLT3LG/FLT4/FOS/GADD45A/GADD45B/GADD45G/GNA12/GNG12/GRB2/HGF/HRAS/HSPA1L/HSPA2/HSPA6/HSPB1/IGF1/IGF1R/IKBKB/IL1A/IL1B/IL1R1/IL1RAP/INSR/IRAK1/IRAK4/JUN/JUND/KDR/KIT/KRAS/MAP2K1/MAP2K2/MAP2K4/MAP2K5/MAP2K6/MAP2K7/MAP3K1/MAP3K11/MAP3K12/MAP3K13/MAP3K14/MAP3K2/MAP3K3/MAP3K4/MAP3K5/MAP3K6/MAP3K7/MAP3K8/MAP4K1/MAP4K2/MAP4K3/MAP4K4/MAPK1/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK3/MAPK7/MAPK8/MAPK8IP1/MAPK8IP2/MAPK8IP3/MAPK9/MAPKAPK2/MAPKAPK3/MAPKAPK5/MAPT/MAX/MEF2C/MET/MKNK1/MKNK2/MRAS/MYC/MYD88/NF1/NFATC1/NFATC3/NFKB1/NFKB2/NGFR/NLK/NR4A1/NTRK1/NTRK2/PAK1/PAK2/PDGFA/PDGFB/PDGFC/PDGFD/PDGFRB/PGF/PLA2G4A/PLA2G4C/PPM1A/PPM1B/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP5C/PRKACA/PRKACB/PRKCA/PRKCB/PRKCG/PTPN7/PTPRR/RAC1/RAC2/RAC3/RAF1/RAP1A/RAP1B/RAPGEF2/RASA1/RASA2/RASGRF1/RASGRP1/RASGRP2/RASGRP3/RELA/RELB/RPS6KA1/RPS6KA2/RPS6KA3/RPS6KA4/RPS6KA5/RPS6KA6/RRAS/RRAS2/SOS1/SOS2/SRF/STK3/STK4/TAOK1/TAOK2/TAOK3/TEK/TGFA/TGFB1/TGFB2/TGFB3/TGFBR1/TGFBR2/TNF/TP53/TRADD/TRAF2/TRAF6/VEGFA/VEGFB,238
hsa04012_ErbB_signaling_pathway,Signal transduction,ABL1/ABL2/AKT1/AKT2/AKT3/ARAF/CAMK2A/CAMK2B/CAMK2G/CBL/CBLB/CDKN1A/CDKN1B/CRK/CRKL/EGF/EGFR/EIF4EBP1/ELK1/ERBB2/ERBB3/ERBB4/EREG/GAB1/GRB2/GSK3B/HBEGF/HRAS/JUN/KRAS/MAP2K1/MAP2K2/MAP2K4/MAP2K7/MAPK1/MAPK10/MAPK3/MAPK8/MAPK9/MYC/NCK1/NCK2/NRG1/NRG2/PAK1/PAK2/PAK3/PAK4/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLCG1/PLCG2/PRKCA/PRKCB/PRKCG/PTK2/RAF1/RPS6KB1/RPS6KB2/SHC1/SHC2/SHC3/SOS1/SOS2/SRC/STAT5A/STAT5B/TGFA,72
hsa04014_Ras_signaling_pathway,Signal transduction,ABL1/ABL2/AKT1/AKT2/AKT3/ANGPT1/ANGPT2/ANGPT4/ARF6/BCL2L1/BDNF/BRAP/CALM1/CALML4/CDC42/CHUK/CSF1/CSF1R/EFNA1/EFNA2/EFNA3/EFNA4/EFNA5/EGF/EGFR/ELK1/EPHA2/ETS1/EXOC2/FASLG/FGF17/FGF18/FGF2/FGF20/FGF22/FGF5/FGF8/FGF9/FGFR1/FGFR2/FGFR3/FGFR4/FLT1/FLT3/FLT3LG/FLT4/FOXO4/GAB1/GAB2/GNB1/GNB2/GNB3/GNB5/GNG11/GNG12/GNG13/GNG3/GNG4/GNG5/GNG7/GRB2/GRIN1/GRIN2A/HGF/HRAS/HTR7/IGF1/IGF1R/IKBKB/INSR/KDR/KIT/KRAS/KSR1/MAP2K1/MAP2K2/MAPK1/MAPK10/MAPK3/MAPK8/MAPK9/MET/MRAS/NF1/NFKB1/NGFR/NTRK1/NTRK2/PAK1/PAK2/PAK3/PAK4/PDGFA/PDGFB/PDGFC/PDGFD/PDGFRB/PGF/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLA1A/PLA2G12A/PLA2G1B/PLA2G2D/PLA2G3/PLA2G4A/PLA2G4C/PLA2G5/PLA2G6/PLCE1/PLCG1/PLCG2/PLD1/PLD2/PRKACA/PRKACB/PRKCA/PRKCB/PRKCG/PTPN11/RAB5A/RAB5B/RAB5C/RAC1/RAC2/RAC3/RAF1/RALA/RALB/RALBP1/RALGAPB/RALGDS/RAP1A/RAP1B/RAPGEF5/RASA1/RASA2/RASA3/RASAL1/RASAL2/RASGRF1/RASGRP1/RASGRP2/RASGRP3/RASSF1/REL/RELA/RGL1/RGL2/RHOA/RIN1/RRAS/RRAS2/SHC1/SHC2/SHC3/SHOC2/SOS1/SOS2/STK4/TBK1/TEK/TGFA/TIAM1/VEGFA/VEGFB/ZAP70,171
hsa04015_Rap1_signaling_pathway,Signal transduction,ACTB/ADCY1/ADCY2/ADCY3/ADCY6/ADCY7/ADCY9/ADORA2B/AKT1/AKT2/AKT3/ANGPT1/ANGPT2/ANGPT4/APBB1IP/ARAP3/CALM1/CALML4/CDC42/CDH1/CNR1/CRK/CRKL/CSF1/CSF1R/CTNNB1/DOCK4/DRD2/EFNA1/EFNA2/EFNA3/EFNA4/EFNA5/EGF/EGFR/ENAH/EPHA2/EVL/F2R/F2RL3/FARP2/FGF17/FGF18/FGF2/FGF20/FGF22/FGF5/FGF8/FGF9/FGFR1/FGFR2/FGFR3/FGFR4/FLT1/FLT4/FPR1/GNAI1/GNAI2/GNAI3/GNAO1/GNAQ/GNAS/GRIN1/GRIN2A/HGF/HRAS/ID1/IGF1/IGF1R/INSR/ITGA2B/ITGAL/ITGAM/ITGB1/ITGB2/ITGB3/KDR/KIT/KRAS/KRIT1/LCP2/LPAR1/LPAR2/LPAR3/LPAR4/MAGI1/MAGI2/MAP2K1/MAP2K2/MAP2K6/MAPK1/MAPK11/MAPK12/MAPK13/MAPK14/MAPK3/MET/MRAS/NGFR/P2RY1/PARD3/PARD6A/PARD6B/PDGFA/PDGFB/PDGFC/PDGFD/PDGFRB/PFN1/PFN2/PGF/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLCB1/PLCB2/PLCB3/PLCB4/PLCE1/PLCG1/PRKCA/PRKCB/PRKCG/PRKCI/PRKD1/PRKD2/PRKD3/RAC1/RAC2/RAC3/RAF1/RALA/RALB/RALGDS/RAP1A/RAP1B/RAP1GAP/RAPGEF1/RAPGEF2/RAPGEF3/RAPGEF4/RAPGEF5/RAPGEF6/RASGRP2/RASGRP3/RGS14/RHOA/RRAS/SIPA1/SIPA1L1/SIPA1L3/SKAP1/SRC/TEK/THBS1/TIAM1/TLN2/VASP/VAV1/VAV2/VAV3/VEGFA/VEGFB,166
hsa04020_Calcium_signaling_pathway,Signal transduction,ADCY1/ADCY2/ADCY3/ADCY7/ADCY9/ADORA2B/ADRA1B/ADRA1D/ADRB1/ADRB2/AGTR1/ASPH/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/ATP2B3/ATP2B4/AVPR1A/BDKRB2/CACNA1B/CACNA1C/CACNA1D/CACNA1E/CACNA1F/CACNA1G/CACNA1H/CACNA1I/CACNA1S/CALM1/CALML4/CAMK1/CAMK1D/CAMK2A/CAMK2B/CAMK2G/CAMK4/CASQ1/CD38/CHRM2/CHRM3/CHRM5/CXCR4/CYSLTR1/CYSLTR2/EGF/EGFR/ERBB2/ERBB3/ERBB4/F2R/FGF17/FGF18/FGF2/FGF20/FGF22/FGF5/FGF8/FGF9/FGFR1/FGFR2/FGFR3/FGFR4/FLT1/FLT4/GDNF/GNA11/GNA14/GNA15/GNAL/GNAQ/GNAS/GRIN1/GRIN2A/GRIN2C/GRIN2D/GRM1/GRPR/HGF/HRC/HRH1/HRH2/HTR2B/HTR4/HTR6/HTR7/ITPKA/ITPKB/ITPKC/ITPR1/ITPR2/ITPR3/KDR/MCOLN1/MCOLN3/MET/MST1/MST1R/MYLK/NOS1/NOS2/NOS3/NTRK1/NTRK2/NTRK3/NTSR1/ORAI2/ORAI3/OXTR/P2RX1/P2RX3/P2RX4/P2RX6/P2RX7/PDE1A/PDE1B/PDGFA/PDGFB/PDGFC/PDGFD/PDGFRB/PHKA1/PHKA2/PHKB/PHKG1/PHKG2/PLCB1/PLCB2/PLCB3/PLCB4/PLCD1/PLCE1/PLCG1/PLCG2/PPIF/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PRKACA/PRKACB/PRKCA/PRKCB/PRKCG/PTAFR/PTGER1/PTGER3/PTK2B/RET/RYR1/RYR2/RYR3/SLC25A4/SLC25A5/SLC8A1/SLC8A2/SPHK1/SPHK2/TACR1/TACR2/TBXA2R/TNNC1/TNNC2/TPCN1/TRDN/VDAC1/VDAC2/VEGFA/VEGFB,170
hsa04022_cGMP-PKG_signaling_pathway,Signal transduction,ADCY1/ADCY2/ADCY3/ADCY6/ADCY7/ADCY9/ADRA1B/ADRA1D/ADRA2A/ADRB1/ADRB2/AGTR1/AKT1/AKT2/AKT3/ATF2/ATF6B/ATP1A1/ATP1A2/ATP1B1/ATP1B2/ATP1B3/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/ATP2B3/ATP2B4/BDKRB2/CACNA1C/CACNA1D/CACNA1F/CACNA1S/CALM1/CALML4/CNGA1/CREB1/CREB3/CREB3L1/CREB3L2/GNA11/GNA12/GNA13/GNAI1/GNAI2/GNAI3/GNAQ/GTF2IRD1/GUCY1A2/INSR/IRS1/IRS2/ITPR1/ITPR2/ITPR3/KCNMA1/KCNMB1/KCNMB3/KCNMB4/MAP2K1/MAP2K2/MAPK1/MAPK3/MEF2A/MEF2C/MEF2D/MYH6/MYH7/MYL9/MYLK/NFATC1/NFATC3/NFATC4/NOS3/NPPA/NPPC/NPR1/NPR2/OPRD1/PDE2A/PDE3A/PDE3B/PDE5A/PIK3CG/PIK3R5/PLCB1/PLCB2/PLCB3/PLCB4/PPIF/PPP1CB/PPP1CC/PPP1R12A/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PRKCE/PRKG1/PRKG2/RAF1/RGS2/RHOA/ROCK1/ROCK2/SLC25A4/SLC25A5/SLC8A1/SLC8A2/SRF/TRPC6/VASP/VDAC1/VDAC2,115
hsa04024_cAMP_signaling_pathway,Signal transduction,ABCC4/ACOX1/ACOX3/ADCY1/ADCY10/ADCY2/ADCY3/ADCY6/ADCY7/ADCY9/ADRB1/ADRB2/AKT1/AKT2/AKT3/ARAP3/ATP1A1/ATP1A2/ATP1B1/ATP1B2/ATP1B3/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/ATP2B3/ATP2B4/BDNF/CACNA1C/CACNA1D/CACNA1F/CACNA1S/CALM1/CALML4/CAMK2A/CAMK2B/CAMK2G/CAMK4/CFTR/CHRM2/CNGA1/CNGB3/CREB1/CREB3/CREB3L1/CREB3L2/CREBBP/CRHR2/DRD2/EDN1/EDN2/EP300/F2R/FFAR2/FOS/GABBR1/GABBR2/GIPR/GLI1/GLI3/GNAI1/GNAI2/GNAI3/GNAS/GRIA3/GRIN1/GRIN2A/GRIN2C/GRIN2D/HCN2/HCN4/HTR1F/HTR4/HTR6/JUN/LIPE/MAP2K1/MAP2K2/MAPK1/MAPK10/MAPK3/MAPK8/MAPK9/MYL9/NFATC1/NFKB1/NFKBIA/NPPA/NPR1/NPY1R/OXT/OXTR/PAK1/PDE10A/PDE3A/PDE3B/PDE4A/PDE4B/PDE4D/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLCE1/PLD1/PLD2/POMC/POPDC2/PPARA/PPP1CB/PPP1CC/PPP1R12A/PRKACA/PRKACB/PTCH1/PTGER2/PTGER3/RAC1/RAC2/RAC3/RAF1/RAP1A/RAP1B/RAPGEF3/RAPGEF4/RELA/RHOA/ROCK1/ROCK2/RRAS/RRAS2/RYR2/SLC9A1/SOX9/SSTR2/TIAM1/TSHR/VAV1/VAV2/VAV3/VIPR2,144
hsa04060_Cytokine-cytokine_receptor_interaction,Signaling molecules and interaction,ACVR1/ACVR1B/ACVR2A/ACVR2B/ACVRL1/AMHR2/BMP2/BMP3/BMP4/BMP5/BMP6/BMP7/BMP8A/BMP8B/BMPR1A/BMPR1B/BMPR2/CCL17/CCL20/CCL22/CCL24/CCL25/CCL7/CCR1/CCR10/CCR2/CCR3/CCR4/CCR5/CCR7/CCR9/CD4/CD40/CD40LG/CD70/CLCF1/CNTFR/CSF1/CSF1R/CSF2RB/CSF3/CSF3R/CTF1/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL2/CXCL3/CXCL6/CXCL9/CXCR1/CXCR3/CXCR4/CXCR6/EBI3/EDA/EDA2R/EDAR/EPO/EPOR/FAS/FASLG/GDF11/GDF15/GDF5/GDF9/GHR/IFNAR1/IFNAR2/IFNG/IFNGR1/IFNGR2/IL10/IL10RA/IL10RB/IL11/IL11RA/IL12A/IL12B/IL12RB1/IL12RB2/IL13/IL13RA1/IL15/IL15RA/IL16/IL17RA/IL17RB/IL17RC/IL18/IL18R1/IL18RAP/IL1A/IL1B/IL1R1/IL1R2/IL1RAP/IL1RL1/IL1RN/IL20RA/IL21R/IL22RA1/IL23A/IL24/IL27RA/IL2RA/IL2RB/IL2RG/IL32/IL4R/IL5/IL6/IL6R/IL6ST/IL7/IL7R/INHBA/INHBB/INHBC/INHBE/LEP/LIF/LTA/LTB/LTBR/MPL/MSTN/NGFR/OSM/OSMR/PF4/PPBP/PRLR/TGFB1/TGFB2/TGFB3/TGFBR1/TGFBR2/TNF/TNFRSF10B/TNFRSF10D/TNFRSF11A/TNFRSF12A/TNFRSF13B/TNFRSF14/TNFRSF17/TNFRSF21/TNFRSF4/TNFRSF8/TNFRSF9/TNFSF10/TNFSF11/TNFSF14/TNFSF15/TNFSF18/TNFSF4/TNFSF8/TNFSF9/XCL1/XCR1,164
hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor,Signaling molecules and interaction,CCL17/CCL20/CCL22/CCL24/CCL25/CCL7/CCR1/CCR10/CCR2/CCR3/CCR4/CCR5/CCR7/CCR9/CSF1/CSF1R/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL2/CXCL3/CXCL6/CXCL9/CXCR1/CXCR3/CXCR4/IL10/IL10RA/IL10RB/IL18/IL18R1/IL18RAP/IL20RA/IL22RA1/IL24/IL2RA/IL2RB/IL2RG/IL6/IL6R/IL6ST/LTA/LTBR/PF4/PPBP/TNF/TNFRSF10B/TNFRSF10D/TNFRSF14/TNFSF10/TNFSF14/XCL1/XCR1,57
hsa04062_Chemokine_signaling_pathway,Immune system,ADCY1/ADCY2/ADCY3/ADCY6/ADCY7/ADCY9/AKT1/AKT2/AKT3/ARRB1/ARRB2/CCL17/CCL20/CCL22/CCL24/CCL25/CCL7/CCR1/CCR10/CCR2/CCR3/CCR4/CCR5/CCR7/CCR9/CDC42/CHUK/CRK/CRKL/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL2/CXCL3/CXCL6/CXCL9/CXCR1/CXCR3/CXCR4/CXCR6/DOCK2/ELMO1/FGR/FOXO3/GNAI1/GNAI2/GNAI3/GNAQ/GNB1/GNB2/GNB3/GNB5/GNG11/GNG12/GNG13/GNG3/GNG4/GNG5/GNG7/GRB2/GRK4/GRK5/GRK6/GSK3A/GSK3B/HCK/HRAS/IKBKB/ITK/JAK2/JAK3/KRAS/LYN/MAP2K1/MAPK1/MAPK3/NCF1/NFKB1/NFKBIA/NFKBIB/PAK1/PARD3/PF4/PIK3CA/PIK3CB/PIK3CD/PIK3CG/PIK3R1/PIK3R2/PIK3R3/PIK3R5/PLCB1/PLCB2/PLCB3/PLCB4/PLCG1/PLCG2/PPBP/PRKACA/PRKACB/PRKCB/PRKCD/PTK2/PTK2B/PXN/RAC1/RAC2/RAC3/RAF1/RAP1A/RAP1B/RASGRP2/RELA/RHOA/ROCK1/ROCK2/SHC1/SHC2/SHC3/SOS1/SOS2/SRC/STAT1/STAT2/STAT3/STAT5B/TIAM1/VAV1/VAV2/VAV3/WAS/XCL1/XCR1,137
hsa04064_NF-kappa_B_signaling_pathway,Signal transduction,ATM/BCL10/BCL2/BCL2A1/BCL2L1/BIRC2/BIRC3/BLNK/BTK/CARD10/CARD14/CD14/CD40/CD40LG/CFLAR/CHUK/CSNK2A1/CSNK2A2/CSNK2B/CXCL1/CXCL12/CXCL2/CXCL3/CYLD/EDA/EDA2R/EDAR/ERC1/GADD45A/GADD45B/GADD45G/ICAM1/IKBKB/IL1B/IL1R1/IRAK1/IRAK4/LBP/LCK/LTA/LTB/LTBR/LY96/LYN/MALT1/MAP3K14/MAP3K7/MYD88/NFKB1/NFKB2/NFKBIA/PARP1/PIAS4/PLAU/PLCG1/PLCG2/PRKCB/PRKCQ/PTGS2/RELA/RELB/RIPK1/SYK/TICAM1/TLR4/TNF/TNFAIP3/TNFRSF11A/TNFSF11/TNFSF14/TRADD/TRAF1/TRAF2/TRAF3/TRAF5/TRAF6/UBE2I/XIAP/ZAP70,79
hsa04066_HIF-1_signaling_pathway,Signal transduction,AKT1/AKT2/AKT3/ALDOA/ALDOB/ALDOC/ANGPT1/ANGPT2/ANGPT4/ARNT/BCL2/CAMK2A/CAMK2B/CAMK2G/CDKN1A/CDKN1B/CREBBP/CUL2/CYBB/EDN1/EGF/EGFR/EGLN1/EGLN3/EIF4E/EIF4E2/EIF4EBP1/ENO1/ENO2/ENO3/EP300/EPO/ERBB2/FLT1/HIF1A/HK1/HK2/HK3/HKDC1/HMOX1/IFNG/IFNGR1/IFNGR2/IGF1/IGF1R/IL6/IL6R/INSR/LDHA/LDHAL6B/LDHB/LDHC/LTBR/MAP2K1/MAP2K2/MAPK1/MAPK3/MKNK1/MKNK2/NFKB1/NOS2/NOS3/NPPA/PDHA1/PDHB/PDK1/PFKFB3/PFKM/PFKP/PGK1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLCG1/PLCG2/PRKCA/PRKCB/PRKCG/RELA/RPS6/RPS6KB1/RPS6KB2/SERPINE1/SLC2A1/STAT3/TEK/TF/TFRC/TIMP1/TLR4/VEGFA/VHL,95
hsa04068_FoxO_signaling_pathway,Signal transduction,AGAP2/AKT1/AKT2/AKT3/ARAF/ATG12/ATM/BCL2L11/BCL6/BNIP3/CAT/CCNB1/CCNB2/CCND1/CCND2/CCNG2/CDK2/CDKN1A/CDKN1B/CDKN2B/CDKN2D/CHUK/CREBBP/EGF/EGFR/EP300/FASLG/FOXO1/FOXO3/FOXO4/G6PC3/GABARAPL1/GABARAPL2/GADD45A/GADD45B/GADD45G/GRB2/GRM1/HOMER1/HOMER2/HOMER3/HRAS/IGF1/IGF1R/IKBKB/IL10/IL6/IL7R/INSR/IRS1/IRS2/KLF2/KRAS/MAP2K1/MAP2K2/MAPK1/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK3/MAPK8/MAPK9/MDM2/NLK/PCK1/PCK2/PDPK1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLK1/PLK2/PLK3/PLK4/PRKAA1/PRKAA2/PRKAB1/PRKAB2/PRKAG1/PRKAG2/PRMT1/PTEN/RAF1/RAG1/RBL2/S1PR1/S1PR4/SGK1/SGK2/SIRT1/SKP2/SLC2A4/SMAD3/SMAD4/SOS1/SOS2/STAT3/STK11/STK4/TGFB1/TGFB2/TGFB3/TGFBR1/TGFBR2/TNFSF10/USP7,111
hsa04070_Phosphatidylinositol_signaling_system,Signal transduction,CALM1/CALML4/CDIPT/CDS1/CDS2/DGKA/DGKD/DGKE/DGKG/DGKH/DGKI/DGKQ/DGKZ/IMPA1/IMPA2/INPP1/INPP4A/INPP4B/INPP5A/INPP5B/INPP5D/INPP5E/INPP5F/INPPL1/IP6K1/IP6K2/ITPK1/ITPKA/ITPKB/ITPKC/ITPR1/ITPR2/ITPR3/MTM1/MTMR1/MTMR14/MTMR2/MTMR3/MTMR4/MTMR6/OCRL/PI4K2A/PI4KA/PI4KB/PIK3C2A/PIK3C2B/PIK3C3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PIKFYVE/PIP4K2A/PIP4K2C/PIP5K1A/PIP5K1B/PIP5K1C/PLCB1/PLCB2/PLCB3/PLCB4/PLCD1/PLCE1/PLCG1/PLCG2/PRKCA/PRKCB/PRKCG/PTEN/SACM1L/SYNJ2,73
hsa04071_Sphingolipid_signaling_pathway,Signal transduction,ABCC1/AKT1/AKT2/AKT3/ASAH1/BAX/BCL2/BDKRB2/BID/CTSD/DEGS1/FCER1A/FCER1G/FYN/GAB2/GNA12/GNA13/GNAI1/GNAI2/GNAI3/GNAQ/HRAS/KRAS/MAP2K1/MAP2K2/MAP3K5/MAPK1/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK3/MAPK8/MAPK9/NFKB1/NOS3/NSMAF/OPRD1/PDPK1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R2/PIK3R3/PLCB1/PLCB2/PLCB3/PLCB4/PLD1/PLD2/PPP2CA/PPP2CB/PPP2R1A/PPP2R1B/PPP2R2A/PPP2R2B/PPP2R2D/PPP2R3A/PPP2R3C/PPP2R5A/PPP2R5B/PPP2R5C/PPP2R5E/PRKCA/PRKCB/PRKCE/PRKCG/PTEN/RAC1/RAC2/RAC3/RAF1/RELA/RHOA/ROCK1/ROCK2/S1PR1/S1PR4/S1PR5/SGMS1/SGPL1/SGPP1/SMPD1/SMPD2/SPHK1/SPHK2/SPTLC1/SPTLC2/SPTLC3/TNF/TP53/TRADD/TRAF2,95
hsa04072_Phospholipase_D_signaling_pathway,Signal transduction,ADCY1/ADCY2/ADCY3/ADCY6/ADCY7/ADCY9/AGPAT2/AGPAT4/AGPAT5/AGTR1/AKT1/AKT2/AKT3/ARF6/AVPR1A/AVPR2/CXCR1/CYTH1/CYTH2/CYTH3/CYTH4/DGKA/DGKD/DGKE/DGKG/DGKH/DGKI/DGKQ/DGKZ/DNM1/DNM2/DNM3/EGF/EGFR/F2/F2R/FCER1A/FCER1G/FYN/GAB1/GAB2/GNA12/GNA13/GNAS/GRB2/GRM1/GRM2/GRM4/GRM6/HRAS/INSR/KIT/KRAS/LPAR1/LPAR2/LPAR3/LPAR4/MAP2K1/MAP2K2/MAPK1/MAPK3/MRAS/PDGFA/PDGFB/PDGFC/PDGFD/PDGFRB/PIK3CA/PIK3CB/PIK3CD/PIK3CG/PIK3R1/PIK3R2/PIK3R3/PIK3R5/PIP5K1A/PIP5K1B/PIP5K1C/PLA2G4A/PLA2G4C/PLCB1/PLCB2/PLCB3/PLCB4/PLCG1/PLCG2/PLD1/PLD2/PRKCA/PTK2B/PTPN11/RAF1/RALA/RALB/RALGDS/RAPGEF3/RAPGEF4/RHEB/RHOA/RRAS/RRAS2/SHC1/SHC2/SHC3/SOS1/SOS2/SPHK1/SPHK2/SYK/TSC1/TSC2,111
hsa04080_Neuroactive_ligand-receptor_interaction,Signaling molecules and interaction,ADM/ADM2/ADORA2B/ADRA1B/ADRA1D/ADRA2A/ADRB1/ADRB2/AGTR1/AVPR1A/AVPR2/BDKRB2/C3/C3AR1/C5/C5AR1/CALCRL/CHRM2/CHRM3/CHRM4/CHRM5/CHRNA1/CHRNA10/CHRNA2/CHRNA3/CHRNA4/CHRNA5/CHRNB1/CHRNB4/CHRNE/CHRNG/CNR1/CNR2/CRHR2/CTSG/CYSLTR1/CYSLTR2/DRD2/DRD4/EDN1/EDN2/F2/F2R/F2RL1/F2RL2/F2RL3/FPR1/FPR2/FPR3/GABBR1/GABBR2/GABRA2/GABRA4/GABRB1/GABRB2/GABRB3/GABRD/GABRR1/GABRR2/GAL/GALR2/GHR/GIPR/GLRA2/GLRA3/GLRB/GNRH1/GNRH2/GPR35/GRIA3/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2C/GRIN2D/GRM1/GRM2/GRM4/GRM6/GRPR/GZMA/HCRTR1/HRH1/HRH2/HRH4/HTR1F/HTR2B/HTR4/HTR6/HTR7/INSL3/LEP/LPAR1/LPAR2/LPAR3/LPAR4/MC1R/MC5R/MCHR1/MLNR/NMB/NMU/NMUR1/NPFFR1/NPY1R/NR3C1/NTSR1/OPRD1/OPRL1/OXT/OXTR/P2RX1/P2RX3/P2RX4/P2RX6/P2RX7/P2RY1/P2RY10/P2RY13/P2RY14/P2RY2/P2RY4/P2RY6/PAQR6/PARD3/PGRMC1/PGRMC2/PLG/PNOC/POMC/PRLR/PRSS3/PTAFR/PTGDR/PTGER1/PTGER2/PTGER3/PTGER4/PTGIR/PTH1R/PTH2R/PYY/RLN1/RLN2/S1PR1/S1PR4/S1PR5/SCT/SSTR2/TAC3/TACR1/TACR2/TBXA2R/THRA/THRB/TMEM97/TSHR/TSPO/UCN/UTS2/VGF/VIPR1/VIPR2,167
