KEGG_name,KEGG_classification,gene_name,count
hsa00512_Mucin_type_O-glycan_biosynthesis,Glycan biosynthesis and metabolism,B3GNT3/B4GALT5/C1GALT1/C1GALT1C1/GALNT1/GALNT10/GALNT11/GALNT12/GALNT14/GALNT2/GALNT3/GALNT6/GALNT7/GALNT8/GCNT1/GCNT3/GCNT4/ST3GAL1/ST3GAL2/ST6GALNAC2/ST6GALNAC4,21
hsa00513_Various_types_of_N-glycan_biosynthesis,Glycan biosynthesis and metabolism,ALG12/ALG13/ALG3/ALG9/B4GALT1/B4GALT2/B4GALT3/DAD1/FUT8/HEXA/HEXB/MAN1A1/MAN1A2/MAN1B1/MAN1C1/MAN2A1/MAN2A2/MGAT1/MGAT4A/MGAT4B/RPN1/RPN2/STT3A/TUSC3,24
hsa00514_Other_types_of_O-glycan_biosynthesis,Glycan biosynthesis and metabolism,B4GALT1/B4GALT2/B4GALT3/C1GALT1/C1GALT1C1/GALNT1/GALNT10/GALNT11/GALNT12/GALNT14/GALNT2/GALNT3/GALNT6/GALNT7/GALNT8/LFNG/MFNG/OGT/PLOD3/POFUT1/POFUT2/POMT1/POMT2/RFNG/ST6GAL1,25
hsa00515_Mannose_type_O-glycan_biosynthesis,Glycan biosynthesis and metabolism,B3GAT1/B4GALT1/B4GALT2/B4GALT3/CHST10/FKRP/FKTN/FUT4/POMGNT1/POMT1/POMT2,11
hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism,Carbohydrate metabolism,CHIT1/CMAS/CYB5R1/CYB5R2/CYB5R3/CYB5R4/GALK1/GALK2/GALT/GCK/GFPT1/GFPT2/GMDS/GMPPA/GNE/GNPDA1/GPI/HEXA/HEXB/HK1/HK2/HK3/HKDC1/MPI/NAGK/NANS/NPL/PGM1/PGM3/PMM1/PMM2/RENBP/UAP1/UAP1L1/UGDH/UGP2/UXS1,37
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",Biosynthesis of other secondary metabolites,GCK/HK1/HK2/HK3/HKDC1,5
hsa00531_Glycosaminoglycan_degradation,Glycan biosynthesis and metabolism,ARSB/GALNS/GNS/GUSB/HEXA/HEXB/HGSNAT/HPSE/HPSE2/HYAL1/HYAL2/IDS/IDUA/NAGLU/SGSH,15
hsa00532_Glycosaminoglycan_biosynthesis_ chondroitin sulfate/dermatan sulfate,Glycan biosynthesis and metabolism,B3GAT3/B4GALT7/CHPF/CHST11/CHST12/CHST15/CHST3/CHST7/CHSY1/CSGALNACT1/CSGALNACT2/DSE/UST/XYLT1/XYLT2,15
hsa00533_Glycosaminoglycan_biosynthesis_keratan_sulfate,Glycan biosynthesis and metabolism,B3GNT2/B4GALT1/B4GALT2/B4GALT3/B4GALT4/CHST1/CHST2/CHST4/FUT8/ST3GAL1/ST3GAL2,11
hsa00534_Glycosaminoglycan_biosynthesis_heparan_sulfate/heparin,Glycan biosynthesis and metabolism,B3GAT3/B4GALT7/EXT1/EXT2/EXTL1/EXTL2/EXTL3/GLCE/HS2ST1/HS3ST1/HS3ST3A1/HS3ST3B1/NDST1/NDST2/NDST3/XYLT1/XYLT2,17
hsa00561_Glycerolipid_metabolism,Lipid metabolism,AGK/AGPAT2/AGPAT4/AGPAT5/AKR1A1/AKR1B1/ALDH1B1/ALDH2/ALDH3A2/ALDH7A1/ALDH9A1/CEL/DGKA/DGKD/DGKE/DGKG/DGKH/DGKI/DGKQ/DGKZ/GK/GLA/LIPC/LIPG/LPIN1/LPIN2/LPL/MBOAT2/MGLL/PNPLA2/PNPLA3,31
